deenpx,expend
ddersu,udders
inpstu,inputs
adimsy,dismay
eelstt,settle
efgirs,griefs
afllpu,lapful
efgiru,figure
adhhow,howdah
bbbluy,bubbly
ehirrs,hirers
eelstv,svelte
aehlpy,phylae
ellmtu,mullet
ddeegk,kedged
egnruy,gurney
aknprs,pranks
cehnst,stench
ceimnr,mincer
ceimns,minces
aekwyy,keyway
deeotv,"devote,vetoed"
bdiops,bipods
imostu,ostium
cdiisv,viscid
ddeegh,hedged
achopy,poachy
chimrs,"chrism,smirch"
eenosv,venose
ginoty,toying
anpssw,spawns
acckrs,cracks
clnosu,consul
beimsu,imbues
clnosw,clowns
deprsu,"drupes,dupers,perdus,prudes,pursed"
cehort,"hector,troche"
celnsu,uncles
addhsu,saddhu
ginotu,outing
dejlow,jowled
cehors,"chores,cosher,ochers,ochres"
ginotv,voting
bbhnoo,hobnob
ehilrs,relish
nopstu,"putons,unstop"
cjnouy,jouncy
eklrru,lurker
ehilrt,"hitler,lither"
ddeelr,reddle
adellu,allude
ghinoo,oohing
dehoop,"hooped,poohed"
ddeelv,delved
aaghns,sangha
adellr,ladler
ddeelu,"delude,dueled,eluded"
adellm,malled
aegils,silage
aekmnu,unmake
aiprst,"rapist,tapirs"
ggijly,jiggly
ghinos,hosing
ddeelm,"meddle,melded"
ginrtu,truing
ghirtw,wright
dfilno,infold
aceopt,"capote,toecap"
aalmmm,mammal
efiint,finite
abegmn,bagmen
adehlr,herald
adehls,"lashed,shaled"
adehlt,"daleth,halted,lathed"
adehlu,hauled
adehlv,halved
beinrs,brines
eeopsx,expose
eggilw,wiggle
degoor,gooder
degoos,goosed
adehln,"handel,handle"
adehlo,haloed
dillwy,wildly
ghoopt,photog
acprss,"scarps,scraps"
aehmst,thames
acprsu,carpus
aimors,maoris
aiiptw,wapiti
cchost,scotch
iprsst,"spirts,sprits,strips"
abcnos,bacons
aelmos,amoles
aaensu,nausea
deefuz,defuze
dddeno,nodded
cdiint,indict
admstu,datums
borrsu,burros
acosst,"ascots,coasts"
afhikl,khalif
defgoo,goofed
abeekt,betake
abeekr,beaker
einotw,townie
ahkoss,shakos
aeefov,foveae
eginrz,zinger
aahmrs,ashram
ghnnuu,unhung
biknsu,buskin
aahmrt,martha
eelssv,"selves,vessel"
eginrs,"reigns,renigs,resign,sering,signer,singer"
eginrr,"erring,ringer"
agmnnu,gunman
defgor,forged
egnotu,tongue
egintw,twinge
deekov,evoked
eginrt,engirt
aeeggw,geegaw
bcginu,cubing
aefkls,flakes
aefklr,flaker
cenops,ponces
acfgin,facing
diimno,domini
ciklss,slicks
aemmsy,mameys
filsuz,fuzils
aeiprr,"rapier,repair"
diimnu,indium
adimoy,daimyo
eesstw,sweets
bbdejo,jobbed
defguu,fugued
aeeggn,engage
ghnort,throng
adimot,diatom
egilmn,mingle
aeflot,foetal
ceirrs,"criers,ricers"
fiorst,fortis
cenopu,pounce
aabeem,amebae
aamntx,taxman
aahmns,"ashman,shaman"
djnnoo,donjon
deeksw,skewed
eginns,ensign
eehlmt,helmet
biiikn,bikini
chopsy,psycho
innrsu,inurns
enttwy,twenty
gnoprs,prongs
aklosv,slovak
aeqruv,quaver
adeors,"adores,soared"
adeorr,"adorer,roader,roared"
adeort,orated
ilrsty,lyrist
emnosv,venoms
emnost,montes
ddeimm,dimmed
egmmru,gummer
ddeimn,"midden,minded"
deipqu,piqued
egmmry,gremmy
eeemst,esteem
emnosy,moneys
abeiss,biases
adempr,"damper,ramped"
adempt,tamped
ddeefu,feuded
abeisz,baizes
aknswy,swanky
klnpsu,plunks
gijnoy,joying
aelsvv,valves
aaddou,aoudad
cekpss,specks
egilpt,piglet
inopst,"pintos,piston,pitons,points"
abhrsy,brashy
acopst,coapts
corstu,courts
ilnpuy,punily
gorttu,rotgut
chnoty,notchy
berttu,butter
dennot,tendon
agikln,laking
eilszz,sizzle
aelsvy,slavey
prsstu,spurts
elpstu,letups
acikpx,pickax
cennru,cunner
eegssu,segues
eegsst,gestes
ampsss,spasms
adimst,"admits,amidst"
eilmty,timely
ampssw,swamps
derssu,"duress,sudser"
adfnot,fantod
aefnrw,fawner
derssy,dressy
ceefhl,fleche
abrtty,bratty
aademm,madame
degnot,tonged
aeehsv,"heaves,sheave"
agllry,argyll
belnoz,benzol
aiilry,airily
ahlpsu,sulpha
acehrr,archer
beegiy,bigeye
blrstu,blurts
cefhnr,french
aacdlu,caudal
beegis,beiges
ahortx,thorax
ilnpst,splint
acgors,cargos
agintw,tawing
adffor,afford
deelux,deluxe
ghilpt,plight
ahortt,throat
ahortu,author
cersuv,curves
delmno,dolmen
acllos,locals
acllor,collar
acllot,collat
acllow,callow
acehrx,exarch
adelru,"aulder,lauder"
adelrr,larder
adelrs,"alders,laders"
cersux,cruxes
dijnns,djinns
beoprr,prober
beoprs,"probes,rebops"
dorssu,sudors
aghntu,naught
agirtu,guitar
hinsuv,vishnu
dijnny,djinny
eerstx,"exerts,exsert"
abcfir,fabric
deostw,stowed
bdostu,doubts
ffillu,fulfil
adglop,lapdog
flossy,flossy
airtty,yttria
anqstu,quants
eilsxy,sexily
adelnr,"darnel,lander"
adelns,"elands,ladens"
adelnp,planed
eeprry,preyer
aacfrs,fracas
adelnt,dental
ekloor,looker
acklss,slacks
ehlmoy,homely
cirtty,yttric
aampps,pampas
clmpuy,clumpy
demorr,dormer
ehlmop,phloem
adelno,loaned
anpruw,unwrap
bfiilr,fibril
ehiipp,hippie
flloow,follow
deiltt,"tilted,titled"
deiprt,trepid
egginr,"ginger,nigger"
abghns,bhangs
cehotu,touche
adehnr,harden
mmnoor,mormon
gmprsu,grumps
dinnuw,unwind
eknnsu,sunken
cdhors,chords
allmss,smalls
aalmor,amoral
aalmos,alamos
eilors,"lories,oilers,oriels"
cllooy,coolly
aalpry,parlay
adeenw,weaned
aabnny,banyan
eilort,"loiter,toiler"
bdeeoy,obeyed
deggry,dreggy
cllooq,colloq
clloop,collop
acmmos,commas
eejsss,jesses
eilzzz,zizzle
deossw,dowses
deosst,tossed
deossu,"douses,soused"
deosss,dosses
adflyy,dayfly
eehrtt,tether
cenoss,scones
adimss,sadism
bbdemo,"bombed,mobbed"
eflorx,flexor
aensst,"assent,sanest"
abceim,amebic
bbemnu,benumb
eegrrv,verger
ehlsvy,shelvy
aadhmr,dharma
eflort,"floret,lofter"
efloru,fouler
aeefir,faerie
eflorw,"flower,fowler,reflow,wolfer"
ilmmsu,muslim
addgmo,goddam
eginpr,pinger
eginpt,pignet
eertvx,vertex
ehoosv,hooves
defgit,"fidget,gifted"
afhims,famish
defgir,fridge
ceilqu,clique
deeghs,hedges
deeghr,hedger
ilprty,triply
addeel,"delead,leaded"
addeen,deaden
aeglmy,"gamely,gleamy"
coopwx,cowpox
immnou,omnium
acorrt,carrot
egmosu,ugsome
cimost,sitcom
cioopt,octopi
beelps,"bleeps,plebes"
eefsty,feyest
addeer,deader
aeglmn,"legman,mangle"
beeelt,beetle
adeggj,jagged
fhorwy,forwhy
adeggh,hagged
adeggn,"ganged,nagged"
ammsuw,wammus
aalmrs,alarms
eghssu,gushes
abbert,rabbet
abberv,abbrev
adeggg,gagged
abberr,barber
aersuu,aureus
adeggz,zagged
belluy,bluely
cirstt,strict
lsstuy,stylus
eglnuu,unglue
adeggr,"dagger,ragged"
eemptx,exempt
innoww,winnow
adeggw,wagged
adeggt,"gadget,tagged"
adeggu,gauged
dejttu,jutted
bbdeor,"dobber,robbed"
bbcluy,clubby
aaeflt,fatale
bimnot,intomb
aloprt,"patrol,portal"
eeelnv,eleven
aaeflm,aflame
aloprr,parlor
aloprs,"parols,polars"
aeekrt,retake
efhirs,"fisher,sherif"
aeekrw,weaker
adeswy,swayed
hinpsu,"punish,unship"
beiklr,bilker
deekpr,perked
ilrssw,swirls
ceekpr,pecker
bbeikl,kibble
ehnort,"hornet,throne"
almnor,normal
einnrs,"inners,sinner"
einnrt,"intern,tinner"
adekst,"skated,staked,tasked"
ehnorr,horner
ehnors,"herons,honers,nosher,senhor"
deiprs,"prides,prised,spider,spired"
einrvw,wivern
eiorrv,revoir
adhijs,"hadjis,jadish,jihads"
aeistx,taxies
acessu,"causes,sauces"
eemmst,emmets
beefrt,bereft
ceimmo,commie
aadefr,afeard
almpss,"plasms,psalms"
rsttuy,trusty
hmnpsy,nymphs
adddem,madded
dehlpu,upheld
aadosu,aouads
acoptw,cowpat
acefhs,chafes
acefhr,chafer
cfkors,frocks
eijnru,injure
lprsyy,spryly
aaeswy,seaway
aekpss,speaks
hoprst,thorps
aeglnw,wangle
eggrru,rugger
aimnrt,martin
ddelpu,puddle
bchors,borsch
aefrry,rarefy
aallpp,"appall,palpal"
hillss,shills
aefrrt,"frater,rafter"
iknssw,swinks
boorrw,borrow
aadrsw,awards
aefrrs,farers
eerrsv,"revers,server,verser"
ahosst,shoats
eerrst,"rester,terser"
cdeepr,creped
aeippr,papier
aglowy,logway
aeggis,aggies
ddeoow,wooded
acnrru,curran
aeggin,ageing
aeggim,maggie
acffhs,chaffs
cchnos,conchs
acffhy,chaffy
cchnoy,conchy
abosuy,bayous
deegrv,verged
bdeeef,beefed
eemnoy,yeomen
eioppt,potpie
aahlsv,halvas
aahllw,wallah
ceeefl,fleece
abhmrs,brahms
eipstt,petits
eipstw,pewits
kllnoy,knolly
ahhuzz,huzzah
bdeeep,beeped
kllnos,knolls
beortt,bettor
adeitw,waited
aeiopz,epizoa
acllno,clonal
ijnruy,injury
empstu,"septum,tempus"
ahinpt,hatpin
aekssu,ukases
demmmu,mummed
deeltt,letted
aoorry,arroyo
aegmny,mangey
eiprrz,prizer
aggnow,waggon
ehilos,"helios,holies"
ehilor,holier
chloos,school
ehilot,eolith
glnooo,oolong
acdeht,detach
ginovw,vowing
bbeiln,nibble
aaakls,alaska
aflssu,sulfas
dfimoy,modify
iknprs,prinks
ammort,marmot
cffrsu,scruff
dlnosu,unsold
chiors,"choirs,ichors,orchis"
dlnuuy,unduly
altuvy,vaulty
gilntu,luting
bdoors,broods
adglns,glands
beinor,bonier
ceiklm,mickle
beinov,bovine
egiost,"egoist,stogie"
dginoz,dozing
acefin,fiance
abbden,nabbed
acefil,facile
ahlpsy,plashy
aadegn,agenda
acelmz,mezcal
deiprz,prized
dginop,"doping,pongid"
dginow,dowing
deeers,"reseed,seeder"
dginou,guidon
ejlstu,justle
dflnoy,fondly
eiimnn,minnie
aadegs,adages
aikort,troika
ceiloo,coolie
bdinnu,unbind
acefis,facies
eenstt,tenets
afffor,faroff
adehir,haired
cefinu,unicef
ijnost,joints
aiikkw,wakiki
enorrs,snorer
dlorsw,worlds
hllowy,wholly
einquu,unique
aimnsv,mavins
aimnst,"mantis,matins"
aimnsu,animus
aallsw,wallas
hkmosu,hokums
ginorw,rowing
abhikt,bhakti
aallsy,allays
eehort,"hereto,hetero"
eillss,lisles
eesttu,"suttee,tutees"
egrssu,surges
aimosw,miaows
eiirsz,sizier
aimosu,miaous
aimost,"maoist,taoism"
eilosu,"louies,louise"
eilosv,"olives,voiles"
deggju,jugged
aeghir,hegira
aeghis,geisha
cchoru,crouch
cchort,crotch
gnnsuu,unsung
aelmnt,"lament,mantel,mantle,mental"
aelmnw,lawmen
aelmns,"lemans,mensal"
aeghio,hoagie
abdlos,doblas
llootu,toluol
aelmny,"laymen,meanly,namely"
cdiiir,iridic
aakksy,kayaks
aemrsu,amuser
deeknn,kenned
ghimty,mighty
aaelnn,anneal
acdlnu,unclad
bekoor,booker
behkor,rhebok
bekoot,betook
deginr,"engird,reding,ringed"
eeenrs,serene
aegkst,gasket
eghrsu,gusher
iknsty,stinky
deeknr,kerned
chintz,chintz
aalmps,plasma
ilmstu,litmus
abcejt,abject
eorrtt,"retort,rotter"
eorttx,extort
dddeos,sodded
eeostv,vetoes
bfimor,biform
aellvy,valley
goorvy,groovy
aaennz,zenana
ceefir,fierce
finosu,fusion
abjjoo,jojoba
emmsuu,museum
ghrssu,shrugs
abbelw,wabble
einswz,wizens
emmory,memory
einswy,sinewy
acdorw,coward
adehil,"hailed,halide"
illmsy,slimly
beegno,begone
cilnou,uncoil
abbelr,"barbel,rabble"
bemmru,bummer
mnnouw,unmown
eellsv,levels
hirrwy,whirry
aacdmp,madcap
celnnu,nuncle
efglnu,engulf
eghluy,hugely
aaeppr,appear
ciimtv,victim
adeefn,deafen
adeefm,defame
adeefl,"deflea,leafed"
adrssw,swards
ahikks,"khakis,kishka"
ehikrs,"hikers,shriek,shrike"
aeglot,legato
adestw,wasted
adestv,staved
fillrs,frills
adestt,"stated,tasted"
diiost,idiots
adesty,"stayed,steady"
adeeft,defeat
fillry,frilly
adeefr,"deafer,feared"
eeimrt,metier
bcirru,rubric
eipsss,"pisses,sepsis"
abbcsy,scabby
chiruz,zurich
alprty,"paltry,partly,raptly"
deoott,tooted
aaimnr,"airman,marina"
aaimns,"animas,manias"
beosst,besots
aaimno,anomia
bbeijr,jibber
afkrst,krafts
alotuy,"layout,outlay"
deilpx,diplex
chopuy,pouchy
acortv,cavort
acertu,"acuter,curate"
dehrss,"sherds,shreds"
adeotu,autoed
adehkr,harked
eiorst,"sortie,tories"
dehrsw,shrewd
eiorsv,vireos
dehrsu,rushed
bdeooz,boozed
ablmsu,albums
afhsst,shafts
erstuu,"suture,uterus"
acilly,lacily
aeilno,eolian
ainnnt,tannin
abeimr,barmie
acills,lilacs
bdeoot,booted
aeilnv,"veinal,venial,vineal"
aeilnt,entail
aeilns,"aliens,alines,lianes,saline"
aeilnr,"aliner,linear,nailer"
aeilnp,"alpine,pineal"
agiknr,raking
agikns,asking
cdelno,cloned
efnryz,frenzy
ddeikr,"dirked,kidder"
afstuu,fatuus
agnrst,grants
hilmoy,homily
floruy,floury
hilmos,holism
abdemn,"badmen,bedamn"
aaacnn,canaan
adiimr,midair
ainprs,sprain
aaacnr,arcana
einpsu,supine
einpst,"instep,spinet"
eeorsz,zeroes
gilory,gorily
eeorsv,soever
eeorss,eroses
efmrsu,"femurs,fumers"
cglnou,unclog
dhorsy,hydros
aehrvw,wharve
ainstt,"taints,titans"
cdeimo,medico
efmnot,foment
aacgim,agamic
deemrt,"metred,termed"
aegghl,haggle
dllouy,loudly
elpuzz,puzzle
ilppsu,"pupils,slipup"
aesstt,"states,states,tastes"
aesstu,sautes
aesstv,"staves,vestas"
deeptt,petted
aessty,"sayest,yeasts"
aanntt,natant
innpsy,spinny
aehstw,"swathe,wheats"
cekrsw,wrecks
dfnors,fronds
cekrsu,sucker
moostt,mottos
acginn,caning
aabltu,tabula
aahlrs,ashlar
ddemoo,doomed
eelmty,meetly
ailrst,"trails,trials"
elprsy,plyers
elmmop,pommel
elprsu,"pulers,pulser"
ijosst,joists
adeijl,jailed
aefrsw,wafers
abilor,bailor
ilmnou,moulin
eelmtt,mettle
bbdeew,webbed
deptuy,deputy
klmruy,murkly
acinnt,tannic
deegiw,wedgie
cooptu,copout
bbnsuy,snubby
deegir,edgier
deegis,sieged
cimors,micros
acorst,"actors,castor,castro,costar,scrota"
emorrt,tremor
acorss,"across,oscars"
ffflsu,fluffs
aehlos,"haloes,haoles"
ilppsy,slippy
chikns,chinks
bbeerr,berber
egijln,jingle
aefgns,ganefs
deijno,joined
eelpsy,sleepy
eelpsx,expels
eelpsv,pelves
aalmsy,malays
eelpss,sleeps
giilmn,liming
acdltu,ductal
deijnx,jinxed
bbchuy,chubby
emppru,pumper
eintty,entity
ipsstu,situps
abllot,ballot
afnpry,frypan
acfkls,flacks
irsstu,tsuris
giilnr,riling
ehoorv,hoover
aissst,"assist,stasis"
ehrssy,shyers
ehrssw,shrews
ehrssu,"rhesus,rushes,ushers"
giilnt,tiling
bnooss,bosons
adgint,dating
adginw,wading
adegin,gained
aegglr,"gargle,lagger,raggle"
adginr,daring
afgimn,faming
ademss,massed
ademst,masted
ehimms,immesh
bdeorr,border
alnors,lorans
hppsuu,pushup
dehntu,hunted
ddeint,dinted
ddeinu,indued
aehprr,harper
aaggmn,gagman
aamsss,massas
bghist,bights
ceipst,septic
elotuv,volute
defopp,fopped
ghnoop,gonoph
ahptuz,hutzpa
aadekw,awaked
acegrs,"cagers,graces"
eeegnr,renege
gilnox,loxing
deeips,espied
eeegnu,eugene
adinor,"inroad,ordain"
ekmors,smoker
adegit,gaited
aeisst,siesta
ceeipr,"piecer,pierce,recipe"
ceeips,"pieces,specie"
ddeinn,dinned
egosuv,vogues
defirt,rifted
behssu,bushes
defirv,fervid
ablmry,marbly
dhoooo,hoodoo
defglu,gulfed
adegnt,tanged
abhpty,bypath
defgly,fledgy
aflorv,flavor
ddeeil,elided
ablmru,"lumbar,umbral"
bderru,burred
dehopp,hopped
ddeeir,deride
ekrstu,tusker
eiilnr,"inlier,linier"
adinpt,pandit
dehopy,hypoed
defglo,golfed
deehlp,helped
gilnop,"loping,poling"
deehlv,helved
aoprsv,vapors
aceftu,faucet
adegnr,"danger,gander,garden,grande,ranged"
ahikss,shiksa
eenprs,preens
aoprst,pastor
cdeers,"ceders,creeds,screed"
filnux,influx
hirsst,shirts
almpsu,ampuls
defllu,fulled
knpssu,spunks
deehll,helled
deehlm,helmed
abklns,blanks
aahims,ahimsa
ddeeux,exuded
acmprs,cramps
arsstu,"sutras,tarsus"
eisstt,testis
behoos,hoboes
aegoss,osages
eisstw,wisest
eisstx,"exists,sexist,sixtes"
aggsty,staggy
aimopy,myopia
fmpruy,frumpy
bimosz,zombis
ennort,tonner
eeeknr,keener
hiossw,whosis
aaaegp,agapae
floppy,floppy
aegglw,waggle
abenrt,banter
hilrsw,whirls
defuzz,fuzzed
hllosu,hullos
addekr,darked
ikmpsy,skimpy
ellowy,yellow
dhiost,dhotis
dhiosv,dovish
defflu,"duffel,duffle,luffed"
ikmpss,skimps
moosty,ostomy
deggru,"grudge,rugged"
emrssu,"musers,serums"
cenosy,coneys
cenosz,cozens
aellny,leanly
cenost,contes
cenosu,"ounces,unesco"
cenosv,covens
dfgiir,frigid
aalovw,avowal
ccinos,conics
affimr,affirm
eegrrw,regrew
aelnty,neatly
eegrru,guerre
eegrrt,regret
aagsuv,guavas
behmor,hombre
cdinsy,syndic
ahiklp,kaliph
ciklns,clinks
ellnsu,sullen
eegrry,greyer
bdenru,"burden,burned,unbred"
eemrrt,termer
ddeirw,widder
fgiiln,filing
forsty,frosty
abcers,"braces,cabers"
abcerr,bracer
chmops,chomps
diqssu,squids
aeglnt,tangle
ciknyz,zincky
eeffsu,effuse
abhmru,rhumba
benrtu,"brunet,bunter,burnet"
bemnsu,busmen
abhiop,phobia
degorv,groved
cehops,epochs
acnpsu,uncaps
cchltu,clutch
eemprt,temper
alstuv,vaults
enrttu,nutter
bginow,bowing
aammuz,mazuma
bdeisu,busied
bdeist,"bidets,debits"
ehmtyy,thymey
doorsu,odours
eeilrv,"eviler,levier,relive,revile,veiler"
abehrs,basher
abehrt,"bather,bertha,breath"
bdegnu,bunged
aailns,"lanais,lianas"
aenrrw,"warner,warren"
gnosuy,youngs
ablpyy,byplay
eeilry,eerily
aabfin,fabian
aadlls,dallas
eeirvv,revive
aghnsw,whangs
gipsty,pigsty
ademrw,warmed
dflnou,unfold
forsuu,rufous
efkluy,flukey
bdegno,bonged
eflruu,rueful
ceeems,emcees
aesttt,attest
bcnouy,bouncy
elnopy,openly
elnuzz,nuzzle
elnopt,lepton
eflrux,reflux
eflruy,fleury
anruwy,"runway,unwary"
eeinpr,repine
eemmnr,mermen
aeissz,assize
aeissx,axises
deikny,kidney
dginsy,dyings
beglos,"bogles,globes"
cglloy,glycol
beglow,bowleg
ddefgu,fudged
aeissu,aussie
beglot,goblet
efikrs,kefirs
ahmnsy,mynahs
ceehsy,cheesy
ablnoz,blazon
eghmmo,megohm
ceehsw,eschew
ahmnsu,humans
fhisst,shifts
adegss,"degass,gassed"
chimps,chimps
cdeksu,sucked
loopry,poorly
acfrty,crafty
abfilu,fibula
cehsst,chests
deiknw,winked
eoprss,"posers,proses,spores"
egiimn,gemini
deiknr,"kinder,kirned"
deiknp,pinked
cklopu,lockup
aeklnt,anklet
beglsu,"bugles,bulges"
eglpru,gulper
deggno,gonged
aeklnr,"lanker,rankle"
acnsst,scants
beikoo,bookie
adensu,sundae
aelnps,"naples,panels,planes"
adenss,sedans
deikno,oinked
dehinr,hinder
aamrsw,aswarm
efiknr,knifer
cdissu,discus
deefrt,defter
eemprs,"semper,sempre"
cdensy,synced
deefrs,defers
aceknr,canker
filoos,folios
iklnsy,slinky
acmuuv,vacuum
filrty,flirty
cinrsu,incurs
bbeiim,imbibe
hiilns,nihils
mpsstu,stumps
acelot,locate
kootww,kowtow
afhlsy,flashy
aeenst,"enates,santee,sateen,senate"
aeensu,unease
abegtu,baguet
gimnno,mignon
celost,closet
celosu,"coleus,oscule"
celoss,closes
dehklu,hulked
hkooss,shooks
aehhwy,yahweh
efilns,elfins
defklu,fluked
eelrst,relets
efilny,finely
einssw,sinews
einsst,"insets,steins"
bioorz,borzoi
beioot,bootie
ciilsy,sicily
bdderu,"budder,redbud"
filnow,inflow
ehmsty,thymes
ioprrs,priors
cdensu,dunces
iinnop,pinion
moorrw,morrow
iinosv,vision
bcehos,boches
chipty,pitchy
eilmot,motile
achnpu,paunch
coprsu,"corpus,croups"
ciprss,"crisps,scrips"
lmpssu,slumps
eiilor,oilier
acnott,octant
dehosw,showed
dehosv,shoved
ciprsy,crispy
dehost,hosted
ddeehr,herded
adinsv,"divans,viands"
adinsu,unsaid
aglnru,langur
dikmnu,dinkum
aglnrs,gnarls
eooprs,porose
eooprr,poorer
aglnry,gnarly
aeoprt,protea
bmoott,bottom
cdehtu,chuted
eimnoo,moonie
adehpt,heptad
belott,bottle
aegjln,jangle
bmooty,tomboy
adehpr,harped
adehps,"hasped,phased,shaped"
ehintz,zenith
iknops,pinkos
deflno,"enfold,fondle"
eeinqu,equine
ehintw,whiten
foopss,spoofs
enopst,pontes
adenrt,"ardent,ranted"
ehoprt,"pother,thorpe"
enortt,rotten
adenrw,"andrew,wander,warden,warned"
adenrr,"darner,errand"
adenrs,"sander,snared"
efinsu,infuse
efinst,"feints,finest,infest"
aeghrs,gasher
deggou,gouged
deggor,"dogger,gorged"
aeghrt,gather
aelnos,anoles
aelnor,"loaner,reloan"
agijnw,jawing
deiirt,tidier
eippst,pipets
ailrtu,ritual
abfisy,basify
agijnp,japing
ejklly,jekyll
hmosty,mythos
eepsst,steeps
himsst,smiths
allopr,pallor
bgilly,glibly
ddelno,noddle
eipprt,tipper
eimnor,merino
adejzz,jazzed
cchkos,chocks
bilssy,sibyls
eipprr,ripper
eimnos,monies
aelnrv,vernal
abdegs,badges
abdegr,"badger,barged,garbed"
aginos,saigon
aertty,treaty
ahllow,hallow
eiprst,"esprit,priest,ripest,sprite,stripe,tripes"
affilp,pilaff
cehnrt,trench
egosty,stogey
achmrs,charms
ehinss,shines
eegrsv,verges
mmrruu,murmur
abdegg,bagged
eegrss,"egress,serges"
eegrsy,geyser
abdego,bodega
benoor,borneo
aeiknt,intake
ceklor,locker
ceklot,locket
aclmps,clamps
cchksu,chucks
msttuy,smutty
adeelv,leaved
accept,accept
adeelp,"leaped,pealed"
adeels,"leased,sealed"
adeelr,"dealer,leader"
celosv,cloves
bceirs,scribe
bghotu,bought
aeoptt,teapot
aalswy,always
acdinr,rancid
afginr,faring
ffikss,skiffs
enrssy,syrens
eiprsv,vipers
afgint,fating
enrssu,nurses
afginz,fazing
afginy,faying
afginx,faxing
iprssu,sirups
einopt,pointe
bdeouy,buoyed
bfflsu,bluffs
cdeffu,cuffed
emossy,moseys
einosw,"nowise,winoes"
cdeltu,dulcet
ehimns,inmesh
ehimnr,menhir
aelnry,nearly
eioprs,poiser
ehimnu,inhume
efsssu,fusses
alnnsu,annuls
bbbdei,bibbed
bcehru,cherub
aegipp,pipage
deglpu,gulped
mprsuu,rumpus
bghirt,bright
ceippt,peptic
ceehit,techie
eglorw,glower
ceeisx,excise
cimsty,mystic
eglors,oglers
ddensu,sudden
cdefku,fucked
cimstu,miscut
eioprr,ropier
hhmpsu,humphs
florsu,"flours,fluors"
giknsy,skying
abnost,batons
cfiinu,unific
gilnpy,plying
abiils,alibis
beglno,belong
elnoss,lesson
eeelpr,peeler
elnosv,"novels,sloven"
eiksss,kisses
elnost,"lentos,stolen"
hiiknn,kinhin
ehrrtu,hurter
dginry,drying
ahlloo,halloo
dginru,during
cdinoo,conoid
eeflry,freely
nnoopt,ponton
dginrs,grinds
goprsu,groups
aeelrv,"leaver,reveal"
aeelrt,"elater,relate"
aeelrs,"leaser,resale,reseal,sealer"
aeelrr,realer
bemnow,bowmen
acefnr,france
cefikl,fickle
bemnot,entomb
booswx,oxbows
ccimru,circum
ehikor,hokier
ceehps,"cheeps,speech"
acfnrs,francs
klnrsu,knurls
cghoru,grouch
aintvv,vivant
efflru,ruffle
footux,outfox
hilmow,whilom
eipqtu,piquet
blnstu,blunts
ademot,moated
ademow,meadow
ademop,pomade
dellnu,nulled
cdeejt,deject
eorstz,zoster
eekorv,"evoker,revoke"
eeoprs,repose
begoru,brogue
aclmmy,clammy
eeltvv,velvet
eeltvw,twelve
ehortv,throve
achkku,chukka
ceeilr,ceiler
ceeils,siecle
deorwy,dowery
einops,"opines,ponies"
eelops,elopes
ablmpu,pablum
abenrr,barren
achsty,yachts
eeirrt,retire
abnrsu,unbars
acepst,aspect
ghotuy,toughy
cdeirt,"credit,direct,triced"
egghor,hogger
bcejot,object
aaemsz,amazes
ghiosy,goyish
aceqsu,casque
eemost,emotes
ilnsvy,vinyls
ellmnu,mullen
dehkoo,hooked
cddelu,cuddle
eilmno,"moline,oilmen"
bdeuzz,buzzed
celopu,couple
acdilp,placid
cddelo,coddle
glnsuy,snugly
eilmns,limens
eilmnr,"limner,merlin"
oostty,tootsy
aglruv,vulgar
deiptt,pitted
ahrstt,strath
aadilr,radial
abmmos,mambos
gmpsuy,gypsum
aderzz,razzed
cdeinr,cinder
bioost,oboist
ceppru,cupper
ceikrw,wicker
cdeinz,"dezinc,zinced"
cckoou,cuckoo
rsstuw,wursts
giirst,tigris
einrtw,"twiner,winter"
cdeino,"codein,coined"
aacclo,cloaca
aabdrt,tabard
allopw,wallop
ginppu,upping
egorrs,rogers
celntu,lucent
afinnn,finnan
egorrw,"grower,regrow"
aehmmy,mayhem
eillvy,"evilly,lively,vilely"
abhins,banish
eghstu,hugest
beelnu,nebule
deotuv,devout
aagnor,"angora,organa"
bdeirr,birder
delmpu,"lumped,plumed"
deotux,tuxedo
deisst,"deists,desist"
deissu,"disuse,issued"
afinnt,infant
akllny,lankly
eeilst,elites
eeilsv,levies
gjlnuy,jungly
bbelny,nybble
inrtwy,wintry
bbelnu,nubble
bdeiir,birdie
ahllos,hallos
bdimor,morbid
eeilsx,exiles
acenns,nances
acennr,canner
bbelno,nobble
ehpssu,pushes
acennu,nuance
cdeppu,cupped
deehsw,shewed
filptu,uplift
iklopy,pokily
aadlop,apodal
eeirrv,verier
adhins,danish
eemrst,"merest,meters,metres"
aaagms,agamas
aeirrt,"artier,irater"
aeirrw,warier
aeirrv,"arrive,varier"
bdeeit,betide
affqsu,quaffs
achrry,charry
coopst,coopts
agotuy,agouty
aceort,coater
cdipsu,"cupids,cuspid"
eeeklr,keeler
bdoory,broody
aejmrt,ramjet
ahimps,mishap
dfjors,fjords
ehlmty,methyl
cklpuy,plucky
bdelru,burled
aklpuw,walkup
aackrr,arrack
ddeeew,weeded
addeir,raided
addeim,diadem
fiitxy,fixity
bempru,bumper
hikrss,shirks
ggilno,ogling
ginrty,trying
aemmrr,rammer
hnoopt,photon
elmsxy,xylems
aeikmn,kinema
elmnos,"lemons,melons,solemn"
aabrsz,bazars
lmttuu,tumult
aijlov,jovial
aervwy,wavery
ffhist,fifths
aemmry,yammer
aabrss,sabras
