acelprt,plectra
abgimst,gambits
adhilmo,halidom
eloprrw,prowler
aeiprsu,upraise
deiinst,indites
eeehrtt,teether
beerrsw,brewers
bbiktuz,kibbutz
gginorw,growing
abciltu,cubital
abehrst,"bathers,berthas,breaths"
clortuy,courtly
accehor,coacher
accehos,coaches
aacgsuy,cayugas
ailppsy,sappily
aghhins,hashing
aaccott,toccata
chiinst,chitins
aegikns,sinkage
aegiknp,peaking
dooorsu,odorous
bdehirt,birthed
deeflru,feruled
aehpsst,spathes
efgilln,felling
deeflry,deerfly
cdenost,docents
cdenoss,seconds
cehostu,touches
ahimntw,whitman
adgilos,dialogs
addeims,diadems
giknstu,tusking
deilrtu,diluter
bgghiis,biggish
deilrtw,twirled
adinqrs,qindars
ceoorst,scooter
aeenpst,penates
aeenpsw,pawnees
fiosttu,outfits
eeglrru,grueler
ceoorss,roscoes
ahnottw,whatnot
aalnnsu,annuals
aeenpsx,expanse
aailprt,partial
gilooss,isologs
acginot,"coating,cognati"
acginor,organic
iklmruy,murkily
giloost,ologist
eersttw,wetters
ilnnops,nonslip
abgiins,biasing
acginox,coaxing
ciilpsy,spicily
aeeilrz,realize
imqrsuy,squirmy
gorsttu,rotguts
aellsst,stellas
aellssw,lawless
bbdeeor,berobed
ehippst,hippest
acmopss,compass
aehirsw,"washier,wearish"
aehirst,hastier
aeeirrt,tearier
aeeirrw,wearier
ehiiprt,pithier
cenottx,context
ckloptu,potluck
afgimny,magnify
bbfgino,fobbing
deffstu,stuffed
acpsstu,catsups
effhlsu,shuffle
abelmrr,"marbler,rambler"
ginnopy,ponying
bdeortu,"doubter,obtrude,redoubt"
beimntu,bitumen
eggilor,loggier
adehlss,"hassled,slashed"
adehlst,daleths
amnnors,normans
afgimno,foaming
adehlsw,shawled
bbfginu,fubbing
hlprsuu,sulphur
abbcost,bobcats
cfimost,comfits
gghiips,piggish
flmmoux,flummox
deimoor,moodier
aimnrtv,varmint
aiillmn,liminal
iimrttu,tritium
aachmsy,yashmac
bmnoosu,unbosom
beehrty,thereby
acilmps,"plasmic,psalmic"
aeglnot,tangelo
dehmpuw,whumped
aiillmw,william
acilmpy,campily
aeissuv,suasive
cdefhil,filched
aciopss,picasso
ffhhisu,huffish
hirsstt,thirsts
ccdeeio,ecocide
defllou,doleful
aaaglmm,amalgam
cciirtu,circuit
acnorry,carryon
clorssy,crossly
acnorrs,rancors
eiprsty,pyrites
bginstu,"busting,tubings"
cdiijru,juridic
delsstu,tussled
acggrsy,scraggy
ikmnors,mikrons
aahimss,ahimsas
cdehmor,chromed
acipsst,spastic
deeinrw,widener
agmprsu,grampus
aceprrs,"carpers,scarper,scraper"
aceentu,cuneate
abchktu,hackbut
bbelloy,bellboy
aeknssu,ankuses
eipprsz,zippers
eeflrux,flexure
abcioru,caribou
aalppru,papular
aadilrs,radials
acoprrt,carport
efflrtu,"fretful,truffle"
achooss,cashoos
adegssu,degauss
dddeors,dodders
achoost,cahoots
hprttuu,thruput
cmosstu,customs
aadnrty,tanyard
deiippr,dippier
aceiort,erotica
eilptty,pettily
ehikrsy,shrieky
deffrsu,duffers
fggilnu,gulfing
ehikrsu,huskier
ehikrss,"shrieks,shrikes"
cghintu,chuting
bllouvy,volubly
dehostt,shotted
dehostu,"shouted,southed"
amnoppr,propman
agimnnn,manning
cchklos,schlock
abeeflm,flambee
gimnopp,mopping
gimnopr,romping
achkoss,hassock
cehoppr,chopper
aaabcls,cabalas
aaahmmt,mahatma
ccnossu,concuss
dnopruu,roundup
dehnnsu,shunned
acikprt,patrick
acgijkn,jacking
adellsu,alludes
adestuy,tuesday
ceorrst,rectors
cdehnpu,punched
ceoqrtu,croquet
eiloors,orioles
beggiru,buggier
ehirsvy,shivery
eiloorw,woolier
ghiltty,tightly
dddefil,fiddled
acelpqu,placque
aabdghn,handbag
eeilstv,evilest
bceimno,combine
eeilstx,sextile
ccenoss,sconces
ddehnou,hounded
aellpru,pleural
ddehrsu,shudder
acehkot,hotcake
aabelno,abalone
aeenssv,avenses
aeensst,"sateens,senates,sensate"
defgity,fidgety
ehlorst,"holster,hostler"
bhoopsy,shopboy
ceiikns,kinesic
ceiiknt,kinetic
eisttuw,wetsuit
eefrrty,ferrety
bgiikln,bilking
abrstuu,arbutus
bhimoos,hoboism
aehprty,therapy
amnsttu,mutants
aegltuv,vulgate
efinrst,snifter
efinrsu,infuser
abdeefg,feedbag
ceeilst,sectile
aanostt,anattos
cegghru,chugger
knnostu,unknots
dfghios,dogfish
egmortu,gourmet
cdehitw,witched
beflosu,befouls
eghimmn,hemming
einttuy,tenuity
aaaelsz,azaleas
ffhilty,fifthly
aegnnst,gannets
firssuy,russify
adefnuz,unfazed
adenotz,zonated
ceilnnu,nuclein
bbdgiin,dibbing
hnopssy,syphons
bersstu,busters
deggirs,diggers
agghisw,waggish
eeirsvw,"reviews,viewers"
abelltu,ballute
aadeerw,awardee
dehhssu,shushed
aehkrss,shakers
aadeert,aerated
aehkrsw,hawkers
adeegrs,greased
ellnors,enrolls
aeknprs,spanker
adeegrw,"ragweed,wagered"
adeegrv,greaved
aaaimnt,amanita
allossw,sallows
aadkmss,damasks
aekpstu,uptakes
abegmnr,bergman
aeeggnr,engager
aeeggns,engages
iinorst,ironist
eimmmsu,mummies
acenrtu,"centaur,uncrate"
eehnorw,"nowhere,whereon"
abcimst,cambist
aeefmrr,reframe
eflnsuy,synfuel
ginntuy,untying
hiloott,otolith
aefhrst,fathers
aelnprt,"planter,replant"
aelnprs,"planers,replans"
afginst,fasting
eginstz,zesting
beehlrt,blether
achikrs,ricksha
ceprssu,spruces
aemrrtu,"erratum,maturer"
abdeghi,bighead
aelnpry,plenary
beeilrs,beliers
abdhnsu,husband
deeiist,deities
aeehrtw,"weather,whereat,wreathe"
bcgimno,combing
adhoopt,hoptoad
acdhnow,cowhand
deeorrr,"orderer,reorder"
deeorrs,reredos
acdeirs,sidecar
abgmorw,bagworm
abbdelr,"dabbler,drabble"
abdnoyy,anybody
aaelmst,"maltase,tamales"
gilorty,trilogy
eempprt,preempt
abeekpr,barkeep
einpstu,puniest
ceikoos,cookies
egillnw,welling
egillnt,"gillnet,telling"
acenprs,prances
aeinnss,siennas
aloruvy,ovulary
behiitx,exhibit
ehillos,hollies
delotuv,voluted
efhrrsu,fuhrers
beeelst,beetles
degnorw,wronged
aafiprt,parfait
ceiimss,seismic
ddeilns,slidden
ddilmuy,muddily
accdeiu,caducei
ddeilnw,dwindle
aejrszz,jazzers
beikoos,bookies
degnoru,"guerdon,undergo"
deefiis,"deifies,edifies"
deefiir,"deifier,edifier,reified"
bdeiirs,birdies
ehinstw,whitens
bbdinos,dobbins
acejlor,cajoler
aelsttw,wattles
aelsttt,tattles
cekoopw,cowpoke
cekoopr,precook
bbbdelo,"blobbed,bobbled"
dhiiopx,xiphoid
cehimny,chimney
filnosw,inflows
bbbdelu,bubbled
cdikmmo,dimmock
deglnno,endlong
ehlortw,whortle
deellms,smelled
degintw,twinged
ceimotv,vicomte
elrrstu,rustler
eehinor,heroine
ciimott,mitotic
ciimotv,motivic
aeenntu,uneaten
aaghquu,quahaug
ceijnst,injects
afklnry,frankly
gijnott,jotting
hilortu,urolith
adenpps,"appends,snapped"
adeehrr,"adherer,reheard"
gilllno,lolling
beilntz,blintze
ghilnru,hurling
aceikrw,wackier
aceikrt,tackier
almnopw,plowman
deehirr,rehired
bceirss,scribes
ahlmnsy,hymnals
afgiinr,fairing
gilllnu,lulling
deknpsu,spunked
aaamnps,panamas
aegosvy,voyages
deeopss,deposes
efmrrsu,ferrums
ceiklst,"keltics,stickle,tickles"
ceiklsu,luckies
aaagiss,assagai
deeopsx,exposed
aahmnss,shamans
ceirruv,curvier
ceiqrsu,cirques
aabenty,abeyant
acillry,lyrical
eennsst,sennets
eennssw,newness
adglosu,douglas
ceelmow,welcome
acenost,octanes
iinostz,zionist
abcelst,cablets
effirst,stiffer
gginnnu,gunning
egiiprw,periwig
abegkor,brokage
acdeqsu,casqued
eelosvv,evolves
accekpu,cupcake
cimoort,motoric
eenrtuv,venture
acekrty,rackety
elmosuu,emulous
deehmnr,herdmen
cgiinov,voicing
ceopruv,coverup
aflmrsu,"armfuls,armsful"
addertt,dratted
aaellsw,seawall
aaegtwy,"gateway,getaway"
eiqruvy,quivery
cceorss,soccers
ghimnny,hymning
bghilty,blighty
aailnty,anality
ginorst,"sorting,storing,trigons"
aberttu,abutter
aailntv,"latvian,valiant"
aadllmr,mallard
bddelsu,buddles
aegrruv,gravure
aegrruu,augurer
adeghor,hagrode
aegiruz,gauzier
aabcrss,scarabs
adilnor,ordinal
aeeloru,aureole
aeelors,areoles
aaccklp,calpack
adirrst,ritards
abdeflt,flatbed
aeeipsv,peavies
cehprsy,cyphers
adeilnr,ireland
ceiprtu,"cuprite,picture"
eiiknps,pinkies
efinsst,"fitness,infests"
gghipsu,puggish
abclovy,vocably
adenrsw,"wanders,wardens"
abeiptz,baptize
beloors,boleros
aahikrt,kithara
adeimns,"maidens,medians,sideman"
adeimnr,amerind
adeimnu,unaimed
abbcirs,bicarbs
accilov,vocalic
eiorrsv,revisor
deimsty,stymied
accilor,caloric
accilos,calicos
aginppw,wapping
aginppt,tapping
eiimpty,impiety
adilpsy,display
aabemos,amoebas
aaeirvw,airwave
aginppz,zapping
abiklor,kilobar
aginppy,yapping
fijstuy,justify
eiilppr,lippier
dilmooy,moodily
ceeertx,excrete
deklnpu,plunked
aelnopu,apolune
bdellor,bedroll
eegrssu,guesser
aglsyyz,syzygal
cdeesux,excused
cegiiln,ceiling
bdersuu,subduer
ehilstw,whistle
acegllo,collage
eloppst,"stopple,topples"
ehorstu,"shouter,souther"
dddeenu,denuded
aaacdir,arcadia
ceiintz,"citizen,zincite"
aeiilnr,airline
cddelor,coddler
cddelos,"coddles,scolded"
aainrtv,variant
aainrtw,antiwar
ehorstx,exhorts
eehmsux,exhumes
eemmrst,stemmer
ahlpssu,sulphas
aeiilnn,aniline
einorrs,ironers
aaclrvy,"calvary,cavalry"
aenoprs,persona
cdekrtu,trucked
gilnppu,pulping
bbdersu,dubbers
eeimmns,immense
bdeilos,bolides
accelly,calycle
aaacntt,cantata
ddeillr,drilled
defnrsu,refunds
iikklny,kinkily
adenstv,advents
acceino,"cocaine,oceanic"
bbbelos,bobbles
hinostw,townish
ddeillo,dollied
effginr,reffing
aenrtuv,vaunter
deimnnu,minuend
aerstuy,estuary
egiknnr,kerning
adenswy,endways
cehiils,chilies
eijlort,joltier
fggiisz,fizgigs
eijlorw,jowlier
eeeiprs,seepier
aghoqsu,quahogs
aelnnrs,ensnarl
adgrstu,dustrag
aelnnru,"annuler,unlearn"
aelnnrt,lantern
aallmpu,ampulla
accfily,calcify
abdeiss,biassed
eoprssu,poseurs
eegoprt,protege
eoprsst,"posters,prestos"
ccdhiil,cichlid
aceennt,canteen
aceennp,penance
aceklor,earlock
aceenny,cayenne
emorrst,tremors
eopprrs,"propers,prosper"
deeprss,"depress,pressed"
deeprsu,"perdues,perused,supered"
deesstt,detests
deeelnr,needler
deeelns,needles
aginort,orating
deelnrs,"lenders,slender"
aehistz,haziest
aehistt,atheist
ademrst,smarted
ademrsw,swarmed
einnrru,runnier
eenosvz,evzones
egghrsu,huggers
mnottuy,muttony
adeeppr,papered
almnowy,womanly
ccdiilo,codicil
aefnsst,"fastens,fatness"
ahhrrsu,hurrahs
ceilpss,splices
ghiknoo,hooking
aemnory,anymore
aeeiklp,apelike
aemnoru,enamour
bchinor,bronchi
aemnorv,overman
aemnors,"enamors,oarsmen"
deepstu,deputes
eikmnns,kinsmen
achilps,caliphs
fimorty,mortify
achrsty,starchy
bceirrs,scriber
aagllnt,gallant
abhmnsu,bushman
adgnops,dognaps
ahmnryy,hymnary
adelort,leotard
adeloru,roulade
abdelpu,dupable
bdgimnu,dumbing
adelors,"loaders,ordeals,reloads"
abeehrv,behaver
abeehrt,breathe
acdehls,clashed
acderrs,"carders,scarred"
acdehlt,latched
aeirrss,"raisers,sierras"
aeirrsv,"arrives,variers"
aacdemy,academy
amnrttu,tantrum
adeeprs,speared
abbirst,rabbits
cddeees,seceded
ahmpssu,smashup
aoqrstu,quartos
eiklssu,sulkies
ceefprt,"perfect,prefect"
hinrstu,runtish
cegilnr,clinger
adeiirs,"dairies,diaries"
aeginst,"easting,eatings,seating,teasing"
aeginsu,guineas
cegilnu,clueing
addgimn,madding
agilnsv,"salving,slaving"
aaelnrs,arsenal
adffist,distaff
aikrtuz,zikurat
adforrw,"forward,froward"
bloopwy,plowboy
deeoprs,"deposer,reposed"
ddeellw,dwelled
eilmpty,emptily
ghinosu,housing
ghinost,hosting
abeelnr,enabler
abeelns,"baleens,enables"
abeelnt,tenable
abeelnu,nebulae
adennps,spanned
ehilost,"eoliths,holiest,hostile"
adennpt,pendant
ddeioww,widowed
ceemnst,cements
eggiors,soggier
egghins,genghis
abgiint,baiting
aaeorru,aurorae
aaeorrt,aerator
addehir,diehard
dehhisw,whished
aeefrst,"afreets,feaster"
cdeginu,"deucing,educing"
ceglooy,ecology
cdeginr,cringed
eiipprt,tippier
efginnp,pfennig
adelnpt,planted
deloors,dolores
eioqtux,quixote
einrttw,written
abnorsy,baryons
acdestt,scatted
acelrtt,clatter
adehorr,hoarder
acelrty,treacly
enorruv,"overrun,runover"
cekrstu,tuckers
adimost,"diatoms,mastoid"
ailorss,sailors
eeoprss,reposes
acenrry,errancy
adimosy,daimyos
bgilmou,gumboil
abeeiln,abilene
aelnpty,"aplenty,penalty"
abelosw,sowable
eejprru,perjure
aegrstt,targets
aegrstv,gravest
illosuy,lousily
dehinrs,"hinders,shrined"
dehmost,methods
eipstty,typiest
abelrsz,blazers
ceirrtu,recruit
cdeelru,ulcered
affirst,tariffs
aaeginv,vaginae
aeelrtx,exalter
affopsy,payoffs
abeflls,befalls
abefllu,baleful
emopprs,moppers
eggirrt,trigger
abeflly,flyable
adinpst,"pandits,sandpit"
aahllsw,wallahs
dersttu,trusted
bcehinr,birchen
bcehint,benthic
aeehhst,sheathe
eefimnr,firemen
deimstw,midwest
deimstu,tediums
bginopr,probing
bginopp,bopping
abccktu,cutback
eiklmrs,milkers
ajmnruy,juryman
ehoossw,wooshes
ceeiprs,"piecers,pierces,precise,recipes"
ehilstt,"lithest,thistle"
clnrsuu,uncurls
achmnsu,manchus
accdeot,coacted
agiklnw,walking
eegrssy,geysers
accnoov,concavo
abeflrs,fablers
accnoor,raccoon
gilnowy,yowling
aeelprt,"pleater,prelate"
delrstu,"lustred,rustled,strudel"
cceiils,icicles
deikmrs,smirked
aeelprr,pearler
aeelprs,"leapers,pleaser,relapse,repeals"
imnoort,monitor
eeenquu,enqueue
adeelnp,"deplane,paneled"
acehmrr,"charmer,marcher"
adeelnr,learned
einnrtv,vintner
adeelnt,latened
abckotu,outback
iinnqsu,quinins
acehmrt,"matcher,rematch"
bbelory,lobbyer
beffosu,bouffes
adeeprt,"adepter,predate,tapered"
cddeeer,"decreed,receded"
adeeprv,"deprave,pervade,repaved"
bbelors,"lobbers,slobber"
aclorst,scrotal
bbelorw,wobbler
adenott,notated
aeehknr,hearken
abbegnu,bugbane
aeffqru,quaffer
bdelosu,"bloused,doubles"
ceegint,genetic
ceeginu,eugenic
ceeginr,generic
abelost,"boatels,oblates"
cillnno,lincoln
abelosv,absolve
eeimpst,"empties,septime"
ekrsstu,tuskers
acehlmy,alchemy
amnopst,"postman,tampons"
ehoosst,soothes
achilry,charily
aehlluv,helluva
adfnnot,fondant
celopru,coupler
cdelrru,curdler
adgnors,dragons
adgnoru,aground
ceekrrw,wrecker
beimorw,wombier
gimnstu,musting
adgnory,organdy
deknouy,unyoked
aabeggr,garbage
acglnor,clangor
abdelrw,"brawled,warbled"
aaahips,aphasia
abdelru,durable
ccehins,cinches
acdehnr,ranched
aabeggg,baggage
acdehnt,chanted
abdelry,dryable
begiknr,kerbing
chinqsu,squinch
adhinps,dishpan
adhinpu,dauphin
aacclru,"accrual,caracul"
adffloo,offload
ccehint,technic
ejlorst,"jolters,jostler"
ghinoos,shooing
aeghint,heating
achimrs,charism
addhssu,saddhus
cghinow,chowing
aabffly,affably
cddiors,discord
cghinos,coshing
cghinor,"choring,ochring"
ahlorst,harlots
aacimns,"caimans,maniacs"
aginotu,autoing
efhoors,hoofers
deeellv,leveled
aaacrwy,caraway
deijnot,jointed
acekrrt,tracker
almorst,mortals
elmnoot,moonlet
acekrrs,rackers
aacehrt,trachea
aacnprt,cantrap
cehopsu,pouches
aefhlls,fellahs
efoprsu,profuse
efoprss,profess
acdeggr,cragged
adekmns,deskman
adekmnr,denmark
beimmrr,brimmer
efflnsu,snuffle
befirvy,verbify
anorrww,warworn
aagmnsw,swagman
deilmsw,mildews
deilmst,mildest
aaeflst,fatales
aegglrs,"gargles,laggers"
aegglrr,gargler
aamnstu,mantuas
aimqrsu,marquis
eeioptz,poetize
aflntuy,flaunty
adeprry,drapery
aemnopr,manrope
adeprrs,"drapers,sparred"
bdiooov,obovoid
adeghmo,homaged
beosstw,bestows
degirrs,girders
amnnoty,antonym
dehinns,shinned
aamrtwy,tramway
celorsw,scowler
celorsv,clovers
celorsu,"closure,colures"
celorst,"colters,corslet,lectors"
celorss,closers
aefimns,famines
aaegrst,teargas
adeffst,staffed
aaegrsv,"ravages,savager"
adenrtu,"daunter,natured,unrated"
adenrtv,verdant
eimrtux,mixture
abbejrs,jabbers
acdekkn,knacked
abffloo,boffola
effrstu,"restuff,stuffer"
dddeimu,muddied
degoost,stooged
eennruv,unnerve
ginprsy,springy
ghilsty,sightly
bginntu,bunting
eghnoos,hognose
cdehmpu,chumped
bbggiin,gibbing
abfflou,buffalo
abeirss,"braises,brassie"
errsttu,"truster,turrets"
abeirst,baiters
aghirsy,grayish
abeirsz,braizes
aaaffll,alfalfa
cehssty,scythes
ddeippr,dripped
dnnosuu,unsound
aehlopt,taphole
eehnstv,seventh
eeginpw,weeping
eeginpv,peeving
eeginpp,peeping
aegorst,"garotes,orgeats,storage"
eeginpr,peering
deillss,lidless
aellmwx,maxwell
aadersy,daresay
deillst,stilled
deillsu,sullied
ehiippr,hippier
ehiipps,hippies
aeeirtt,iterate
dehlrsu,hurdles
dgiinrs,ridings
elssstu,tussles
ceilnps,"pencils,splenic"
acdllor,collard
denpssu,suspend
aceinss,"caseins,incases"
ceiorsv,voicers
ceiorsw,cowries
ceiorst,erotics
deelntt,nettled
giilnps,"lisping,pilings"
addfhis,faddish
ddeistu,studied
chiopxy,hypoxic
abellru,"rubella,rulable"
deiqttu,quitted
abellrs,ballers
adeehsv,sheaved
abciksy,sickbay
cilsttu,cultist
cnoortt,contort
defggir,frigged
dhikssu,duskish
defiimw,midwife
acehims,chamise
acdiost,dacoits
fhorstu,fourths
acehimp,impeach
agginot,gigaton
arssttu,stratus
ggilnnu,lunging
eeilqru,relique
acdiosz,zodiacs
agiilnn,"alining,nailing"
egippsu,guppies
ggilnno,longing
aaabbrr,barbara
eepsttu,puttees
agiilnt,"intagli,tailing"
ceortuu,couture
eginrtu,trueing
accelno,conceal
ijjmsuu,jujuism
bimsstu,submits
eepstty,typeset
aloprst,"patrols,portals"
abdeggr,bragged
cilprtu,culprit
aabdhnt,hatband
cimprss,scrimps
beiosss,bossies
aeimprv,vampire
abbqsuy,squabby
bnnrsuu,sunburn
bcdehnu,bunched
aemprtu,tempura
adensuv,unsaved
eennprs,penners
achinnu,unchain
dgiimmn,dimming
aeklrsw,walkers
denopux,expound
aeklrst,"stalker,talkers"
aeklrss,slakers
abiorss,isobars
effoprr,proffer
dfgginu,fudging
gggintu,tugging
eehmrux,exhumer
eegoptu,peugeot
eggilns,"leggins,niggles,sniggle"
ceelnos,enclose
agllnos,gallons
ceelrsw,crewels
ginortt,rotting
ceelrsu,recluse
ceelrst,tercels
acceiln,calcine
ainqrtu,quintar
ginortw,trowing
boopstx,postbox
boopsty,"postboy,potboys"
aaegntv,vantage
acelmss,mescals
acelmst,calmest
adinoot,donatio
dersstu,"dusters,trussed"
acceilt,calcite
beeinos,ebonies
beeinot,ebonite
gloooyz,zoology
eeilnuv,veinule
eghnotu,toughen
aachikn,kachina
beeejlw,bejewel
beeejlz,jezebel
aehorrs,hoarser
aeijrzz,jazzier
aginrst,"gratins,ratings,staring"
deelssw,dewless
aginrsv,ravings
cdimstu,dictums
aghlsty,ghastly
dginnnu,dunning
abbosty,batboys
aabderr,abrader
aabders,abrades
deillnw,indwell
cklnuuy,unlucky
eilmoss,lissome
aeforry,forayer
eilmost,motiles
bbegirs,gibbers
aeforrv,favorer
dginnno,donning
ahinntx,xanthin
abenrsz,brazens
aaghrsw,washrag
fhippsu,pupfish
aeiknrt,keratin
hnoorsu,honours
ceehins,chinese
ailnqtu,quintal
agiopss,gaposis
aiimnst,animist
aiimnss,simians
ehnotuy,youthen
defggru,frugged
adddeer,dreaded
eeersss,seeress
bddeetu,debuted
adiortu,auditor
abelrvy,bravely
eegimrr,germier
eegimrs,"emigres,regimes"
aabersu,subarea
aaberst,"abaters,abreast"
aaefswy,safeway
nnooopt,pontoon
beinrtt,bittern
aaberss,abasers
egoprrs,gropers
abeellr,"labeler,relabel"
aeenrtv,"nervate,veteran"
nopsstu,"sunspot,unstops"
aeenrtt,"entreat,ternate"
egoprru,"grouper,regroup"
fiopstx,postfix
abeelly,eyeball
abehlrs,herbals
abeprty,typebar
abehlrt,blather
eglmoor,legroom
aeklstu,auklets
emoosss,osmoses
bgghios,boggish
aelnoru,aleuron
ceeottt,octette
abdehit,habited
bbcelor,"clobber,cobbler"
aelnors,"loaners,orleans,reloans"
aachkrt,hatrack
ggiinnw,winging
ciimssv,civisms
ginpstu,pignuts
aaadgil,adagial
ggiinnr,ringing
dekosvy,skydove
bnosttu,buttons
aehhnrs,harshen
aegmoxy,exogamy
eemnoos,someone
aelprtt,"platter,prattle"
abdgino,aboding
deoppst,stopped
deoppsw,swopped
abgiiln,bailing
ggiinno,ingoing
ggiinnn,ginning
ablprsu,burlaps
deloops,"poodles,spooled"
aailrst,lariats
ipsstty,typists
aeikqru,quakier
acinopt,"caption,pontiac"
aeprssu,pausers
aeprsst,"pasters,repasts,sparest"
aeprsss,passers
deffirs,differs
affimrs,affirms
gillnyy,lyingly
deggior,doggier
adiklny,ladykin
deeorxx,xeroxed
aaffirs,"affairs,raffias"
adehotw,towhead
chiksty,kitschy
aghlmpu,galumph
eenstvy,seventy
iimosst,mitosis
bfiilrs,fibrils
gilmnsu,lignums
einnost,"intones,tension"
egipssy,gypsies
aegoptt,pottage
einnoss,sonnies
deilnsy,snidely
hkkoosy,skyhook
deknnru,drunken
aahllwy,hallway
beiorss,bossier
aginpry,praying
bbcdeir,cribbed
aginprt,"parting,prating"
aginprw,warping
aginprr,parring
aginprs,"parings,parsing,rasping,sparing"
aciloss,socials
aaeirtw,awaiter
acilost,stoical
aiorrtx,oratrix
hinnort,tinhorn
beglmru,grumble
aaeelor,areolae
aeeknrs,sneaker
hiilmtu,lithium
eehnort,thereon
deiijmm,jimmied
deeenps,deepens
deiklos,keloids
dginstu,dusting
acflpsu,capfuls
eeilsss,sessile
alortyy,royalty
bceenos,obscene
behlrsu,blusher
acehpry,preachy
aafnsty,fantasy
hilmosw,wholism
hilmoss,holisms
defilzz,fizzled
acdeort,"cordate,redcoat"
abbelsw,wabbles
dddeelu,deluded
acfhist,catfish
eiklmmn,milkmen
dddeelp,peddled
bdeglnu,"blunged,bungled"
bjloost,joblots
ademnns,sandmen
bceeksz,zebecks
aeffltu,fateful
ademnnu,"mundane,unnamed"
cehnrru,churner
accderu,accrued
iilttuy,utility
aabltxy,taxably
deginrw,"redwing,wringed"
deginru,dungier
deginrr,grinder
deginrs,engirds
bbenrsu,snubber
abdenss,badness
belmopr,problem
bcekrsu,buckers
abdgluy,ladybug
eggrrsu,ruggers
aimnrst,martins
ceilmop,"compile,polemic"
ddehiry,hydride
eikllst,skillet
ddehirs,reddish
acinqtu,quantic
deellqu,quelled
beekrsu,rebukes
enrsttu,"entrust,nutters"
aabcort,acrobat
cenosvy,conveys
dikooss,skidoos
ccinotv,convict
befflru,bluffer
deioqtu,quoited
iiknpps,pipkins
eeipstt,petites
eeipstw,peewits
addersy,dryades
aahkmsy,yashmak
egimnot,emoting
addersw,"edwards,wadders"
adderss,address
ccehosu,couches
dehimms,shimmed
akorrtw,artwork
deffins,sniffed
delprsu,slurped
adehmss,smashed
dgmoouw,gumwood
cinorsz,zircons
adelrzz,dazzler
cillruy,curlily
eeeistw,sweetie
cikllor,rollick
hhiipps,hippish
affggin,gaffing
bhilsuy,bushily
aelrttu,tutelar
cdelopp,clopped
deeglns,legends
deeglnt,gentled
alnoort,ortolan
eeipqru,"perique,reequip"
aehhlst,healths
aabgilm,mailbag
aaenpst,"anapest,peasant"
gggijnu,jugging
aaenpsv,pavanes
abopstt,tabstop
bbeinru,nubbier
eeerrsv,"reserve,reveres,reverse,severer"
aailpzz,palazzi
adglowy,dayglow
aadlnsu,landaus
aadlnsv,vandals
adennsw,swanned
gggijno,jogging
iiikmnn,minikin
bdnnouu,unbound
aadlnss,sandals
eeilnss,"ensiles,seniles"
aceklru,caulker
abegino,begonia
aeilnry,inlayer
eeehloy,eyehole
afgilno,"foaling,loafing"
aaggqsu,quaggas
aeilnrs,"aliners,nailers"
afgilnu,gainful
afgilnw,flawing
aaclnru,lacunar
fhiorry,horrify
aeinptt,patient
aeinptu,petunia
abeginr,bearing
acellmo,calomel
afgilny,flaying
eimmsst,tsimmes
acehoss,chaoses
aaenruw,unaware
eehlstt,shtetel
einopst,"pintoes,pointes"
einopsw,winesop
aahknsu,kahunas
eglnpru,plunger
eillmnu,mullein
aeippps,pappies
aahptwy,pathway
acelnsu,unlaces
acelnst,"cantles,lancets"
abefilx,fixable
ceorsss,crosses
abefilu,fibulae
agggijn,jagging
deilops,"despoil,dipoles,spoiled"
eioorrt,rootier
abefilr,friable
eikmrst,mirkest
eikmrsu,muskier
abefiln,finable
dghintu,hindgut
aaccers,carcase
acegiop,apogeic
ehimmno,hominem
ehlpssu,plushes
aadorwy,roadway
adsstuw,sawdust
gilnpru,purling
eeprttx,pretext
cekorst,"restock,rockets,stocker"
beeeflr,feebler
aaacnrv,caravan
ceknrwy,wryneck
ceegort,cortege
abeintt,tibetan
eilostt,toilets
degglpu,plugged
eeeorsy,eyesore
abcorrw,crowbar
aabknrt,tanbark
eeeorsv,oversee
adelmst,malteds
abbhttu,bathtub
adelmss,damsels
alloops,apollos
aadhinp,daphnia
cnostuy,countys
giimnss,missing
beeqstu,bequest
aeellwy,walleye
ghnoops,gonophs
mossttu,utmosts
ahmnopt,phantom
aekqsuy,squeaky
acooprr,corpora
acmorrs,carroms
aceeknp,kneecap
abllnoo,balloon
aeggnsu,gangues
giopsst,spigots
aaghinn,ghanian
aaceehr,earache
ehirrtw,writher
giopsss,gossips
denorsv,vendors
denorsw,"downers,wonders"
denorst,"rodents,snorted"
denorsu,"enduros,resound,sounder,undoers"
aacdirs,cardias
acensst,"ascents,secants,stances"
elopsst,topless
aemnpsu,pneumas
abbhrru,rhubarb
adddeis,daddies
aaglnoy,analogy
beglnos,belongs
aaglnos,analogs
aaglnor,granola
ccooors,rococos
dehnoow,"hoedown,woodhen"
dehnoor,honored
aeffovw,waveoff
agilmmn,lamming
acinrtu,curtain
eeillrv,eviller
eeillry,leerily
bdissuy,subsidy
cinnoru,unicorn
degilly,gelidly
acehnst,chasten
degillr,grilled
koprsuw,workups
aabdenu,bandeau
degillu,gullied
ceehqsu,cheques
ellmnot,tollmen
cdehksu,shucked
bhknosu,bohunks
aaiqtuv,aquavit
ehnootz,hotzone
aehlstt,stealth
aehlstw,wealths
bbelrru,burbler
eeilmrv,vermeil
deeeisv,devisee
eilnoor,loonier
