aajnp,japan
lmotu,"moult,multo"
diivv,vivid
rstuy,"rusty,yurts"
chipt,pitch
bdiln,blind
einnr,inner
einnu,ennui
chips,chips
chipr,chirp
affgs,gaffs
bnnsu,bunns
acerr,"carer,racer"
acers,"acres,cares,races,scare"
acert,"caret,carte,cater,crate,react,recta,trace"
beefs,beefs
acerv,"carve,caver,crave"
eopss,"pesos,poses,posse"
eilns,"liens,lines"
eilnr,liner
efhit,thief
eilnv,"levin,liven"
acnry,carny
blluy,bully
aiiqr,iraqi
eilny,liney
cgilo,logic
ehisv,"hives,shive"
ehist,heist
dhlos,holds
cddei,diced
abbty,tabby
cddeo,coded
aekms,"kames,makes"
nntuy,tunny
ilnsy,lysin
bffsu,buffs
jotty,jotty
bcksu,bucks
afluw,awful
eilnn,"lenin,linen"
cddee,ceded
aappw,papaw
acgno,conga
ellms,smell
aamnn,manna
alsww,wawls
acent,enact
belps,plebs
ikmss,skims
ddehi,hided
acenp,pecan
acenr,"caner,carne,crane,nacre"
acens,"acnes,canes"
ceejt,eject
aamnx,axman
aceno,"canoe,ocean"
eopsx,"expos,poxes"
ffins,sniff
aamns,manas
eopsy,"poesy,sepoy"
aamnt,"atman,manta"
gissw,swigs
deinn,inned
egikl,"kleig,klieg"
egilt,legit
lopss,slops
fhoos,hoofs
agpss,gasps
aacnn,canna
opssw,swops
foops,spoof
foopr,proof
ddilo,dildo
divvy,divvy
chlos,lochs
aborv,bravo
efory,foyer
chlot,cloth
abors,boars
eforz,froze
deinw,"widen,wined"
efort,"fetor,forte,ofter"
deinu,"indue,nudie"
deint,tined
deins,"dines,snide"
aborx,borax
efors,"fores,froes"
admru,mudra
elnsu,lunes
agims,sigma
hmrtu,thrum
ehlmw,whelm
eippt,pipet
estux,tuxes
eiins,nisei
gistw,twigs
eqsuy,queys
klosy,yolks
nnpuy,punny
anpst,pants
anpsw,"pawns,spawn"
delry,redly
biost,obits
achkw,whack
anpss,"snaps,spans"
ffopu,pouff
ilmtu,multi
chouv,vouch
ddety,teddy
anpsy,pansy
delru,"lured,ruled"
ceiov,voice
enrsw,wrens
fopsu,poufs
iiksw,kiwis
arsst,"stars,tsars"
eqruy,query
bmnsu,numbs
ejlls,jells
ggglo,glogg
floty,lofty
ejlly,jelly
flotu,flout
acmss,scams
deinp,pined
glnsu,"lungs,slung"
aikow,kiowa
cossw,scows
iorsv,visor
ceimn,mince
aoprs,"praos,proas,sapor"
lmpuy,"lumpy,plumy"
hinss,"shins,sinhs"
cegin,genic
dekst,tsked
deksu,dukes
firzz,frizz
dekss,desks
bhmru,rhumb
hinst,"hints,thins"
eintw,twine
egikn,eking
hinsy,shiny
ceimr,"crime,merci"
irstw,"wrist,writs"
deksy,"dykes,skyed"
bgnoo,bongo
cesst,sects
acprs,"carps,craps,scarp,scrap"
doqsu,quods
acnno,canon
eegmr,merge
cgiin,icing
aclns,clans
bcmoo,"combo,coomb"
ciotx,toxic
opstu,"pouts,spout,stoup"
ackty,tacky
acnny,"canny,nancy"
bitty,bitty
ddeik,diked
bcmos,combs
ahpsw,"pshaw,whaps"
bgnos,bongs
opsty,"potsy,typos"
apswy,"waspy,yawps"
orrwy,worry
moory,"moory,roomy"
instu,"tunis,units"
ceisv,vices
aeehv,heave
ceist,cites
boosz,bozos
ffhuy,huffy
ansuy,unsay
moorv,vroom
deipt,tepid
dikrs,dirks
filps,flips
aerrz,razer
eipst,spite
aersz,razes
ddist,didst
ffhit,fifth
denpu,upend
ffhiw,whiff
bbmos,bombs
afios,sofia
aaims,amias
aaimr,maria
aefhs,sheaf
ailpt,plait
afiqr,faqir
eksyy,skyey
aegir,regia
addew,waded
adhlo,ahold
bbooy,booby
afoot,afoot
ekops,"pokes,spoke"
aaimn,"amain,anima,mania"
beerw,weber
beerv,breve
abims,iambs
bboos,boobs
artwy,warty
almor,"molar,moral"
lnnoy,nylon
fillr,frill
fills,fills
almos,loams
dnops,ponds
ceinx,xenic
ailpr,"april,pilar"
illqu,quill
cistu,"cutis,ictus"
filly,filly
eoosz,oozes
bceks,becks
ehnst,"hents,thens"
eelps,"peels,sleep"
eelpr,"leper,repel"
eklpy,kelpy
eelpx,expel
emrst,terms
emrsu,"muser,serum"
imopr,primo
ahmny,mynah
beens,benes
aalnt,natal
afoss,"fossa,sofas"
imopu,opium
aklny,lanky
eimrs,"emirs,mires,miser,rimes"
cehir,"reich,riche"
ejksu,jukes
cehit,ethic
cehiv,chive
afosy,ofays
cerst,crest
accdy,cycad
cersw,"crews,screw"
cehil,"chiel,chile"
cehim,chime
begnu,begun
cerss,cress
eeilt,elite
ggirs,grigs
aarsu,auras
ooprs,"sopor,spoor"
alssw,slaws
demmo,modem
eervy,"every,veery"
aaemz,amaze
cdeiy,dicey
cnotu,count
deesy,seedy
efruz,furze
cdeir,"cider,cried,dicer,riced"
cdeis,dices
dnowy,downy
cginu,cuing
cdeiv,"vedic,viced"
ahmpr,pharm
cdeit,"cited,edict"
deess,seeds
dgiir,rigid
moort,motor
cdeim,medic
abqsu,squab
afmoy,foamy
lorry,lorry
cfksu,fucks
aegsw,"swage,wages"
agsuv,vagus
eervv,verve
cdhit,ditch
cello,cello
agmsu,magus
dllsu,dulls
nnosy,sonny
aossy,soyas
iortv,vitro
aemrs,"mares,marse,maser,reams,smear"
eknrs,kerns
celsw,clews
celst,celts
celsu,"clues,luces"
cdhil,child
dpssu,spuds
bbemo,bombe
abeky,beaky
ikkos,kiosk
hmsuu,humus
mmtuy,tummy
alrry,larry
deemn,emend
abekr,"baker,brake,break"
agimn,gamin
abekl,bleak
deems,"deems,meeds"
elrru,"lurer,ruler"
almru,mural
aabnw,bwana
deemt,meted
anstw,wants
almry,mylar
asstw,"swats,wasts"
bilps,blips
hilot,litho
aikss,sakis
aehlp,aleph
aehls,"hales,heals,leash,shale"
aehlr,haler
fiinx,infix
cilno,colin
aehlv,halve
muyzz,muzzy
aehlz,hazel
eeelm,melee
fiins,finis
hksuy,husky
epsty,types
aerty,teary
aertx,"extra,taxer"
eeelv,levee
emort,metro
emorv,mover
emorw,mower
aertw,water
aertv,"avert,trave"
aehlo,haole
emors,"mores,morse"
dioww,widow
akqru,quark
efsuz,fuzes
achor,roach
ooprt,troop
efisw,wifes
beluy,bluey
ceioz,cozie
essty,styes
ahjno,jonah
ahkrs,"harks,shark"
aggns,gangs
hortt,troth
ddemo,domed
koosz,zooks
noosw,swoon
jmpsu,jumps
cilps,clips
aefrt,after
foost,foots
afkrt,kraft
abouy,bayou
boors,boors
cilpt,clipt
deimn,"denim,mined"
dilru,lurid
aefry,faery
eepsv,veeps
chlny,lynch
epstu,"setup,stupe,upset"
deimt,"demit,timed"
eepsw,"sweep,weeps"
deimr,"dimer,mired,rimed"
deims,"deism,dimes"
deimp,imped
bbtuy,tubby
illss,sills
afghu,faugh
aacco,cacao
akmou,oakum
deimx,mixed
knooy,nooky
aeopr,opera
cfkor,frock
binru,"bruin,burin"
bceex,xebec
mosuy,mousy
fggoy,foggy
achnr,ranch
aetzz,tazze
binry,briny
aeflm,flame
bdirs,"birds,dribs"
hooss,shoos
firtu,fruit
adgou,gouda
celos,"close,coles"
cfmoy,comfy
celov,clove
cegko,gecko
aeprs,"apers,apres,asper,pares,parse,pears,rapes,reaps,spare,spear"
aeprr,"parer,raper"
dmmuy,dummy
aeprw,pawer
aeprv,"parve,paver"
aeprt,"apter,parte,pater,peart,prate,taper"
aghuw,waugh
aepry,"apery,payer,repay"
aeimr,"aimer,amire,marie,ramie"
oosty,"sooty,toyos"
cenot,"cento,conte"
aagor,agora
cenov,coven
akooz,kazoo
cenop,ponce
finty,nifty
cenor,"crone,recon"
cenos,"cones,onces,scone"
beery,beery
alotv,volta
hiwzz,whizz
cenoy,coney
cenoz,cozen
ekopr,poker
bmost,tombs
loost,"loots,lotos,stool,tools"
jloty,jolty
aakos,osaka
cinnu,cunni
looss,solos
ahmsy,mashy
inrsu,ruins
beert,beret
afimr,firma
ahmss,"shams,smash"
ahmsw,"shawm,whams"
achio,chiao
prrsu,purrs
aadnp,panda
egiin,genii
aestw,"sweat,waste"
aftty,fatty
enpst,spent
ekopy,pokey
beoos,oboes
eeprt,peter
jknuy,junky
cfios,coifs
cdssu,scuds
aikmu,umiak
hklsu,hulks
eenty,teeny
inosv,vinos
inosw,winos
beelt,betel
derux,redux
bbilo,bilbo
iopst,posit
ammos,ammos
adort,tardo
mopyy,myopy
dehpy,hyped
aahst,hasta
iknop,pinko
aahsw,awash
efnrs,ferns
eilmr,miler
eilms,"limes,miles,slime,smile"
eilmp,impel
ilmss,slims
aahsy,ayahs
cilow,wilco
eilmu,ileum
mmpsu,mumps
allst,stall
eiqtu,"quiet,quite"
ckpsu,pucks
imppr,primp
denuu,undue
aektw,tweak
denuw,unwed
adgnr,grand
achmp,champ
achmr,"charm,march"
achms,"chams,chasm,machs"
achmt,match
eoorw,wooer
ahrry,harry
ceruv,curve
gmpru,grump
ginrs,"girns,grins,rings"
eglov,glove
hlpsy,sylph
ginrw,wring
cttuy,cutty
ginru,"ruing,unrig"
ahntu,"haunt,unhat"
allmu,mulla
beelr,rebel
eistu,suite
cefhi,"chief,fiche"
allms,"malls,small"
ghsuy,gushy
cefht,fetch
cefhs,chefs
elmpu,plume
eoosy,sooey
eistx,"exist,exits,sixte"
orstt,"torts,trots"
opssu,soups
agnty,tangy
cehlt,letch
aeirz,zaire
ahhrs,harsh
aabmm,mamba
aeirt,irate
loosw,wools
agntu,gaunt
aeirs,"aries,arise,raise"
elnwy,newly
begmu,begum
aabft,abaft
imoss,misos
aesst,"asset,easts,sates,seats"
ehmps,hemps
forru,furor
aabms,samba
cehwy,chewy
adlmy,madly
cloyy,coyly
ehmpy,hempy
allps,palls
adegz,gazed
oopsw,"swoop,woops"
anpty,panty
abbcy,cabby
berry,berry
adegr,"edgar,garde,grade,raged"
adegs,"degas,egads"
adegp,"gaped,paged"
erttu,utter
adegt,gated
abbco,cabob
gorss,gross
behst,beths
gorsw,grows
adegl,glade
adegm,gamed
gorsz,grosz
opstt,stopt
adisw,wadis
gorsy,"gorsy,gyros"
adegg,gaged
looov,ovolo
bltuy,butyl
aclps,"claps,clasp,scalp"
ekpsy,pesky
ggmuy,muggy
ehinw,whine
gipsy,gipsy
ejnoy,enjoy
dehrs,"herds,sherd,shred"
agntw,twang
imrsv,mirvs
enorw,"owner,rewon"
egnos,segno
ailrv,"rival,viral"
enors,"norse,senor,snore"
intty,nitty
allpy,pally
enory,onery
blnow,blown
cloor,color
cloos,"cools,locos"
eiors,osier
ikpss,skips
ammmy,mammy
aklnp,plank
bdnsu,bunds
iknrs,rinks
afost,fatso
aenty,yenta
almty,malty
ammmo,momma
agnrs,gnars
gnouy,young
bisty,bitsy
cgioy,yogic
bistt,bitts
ellno,nolle
floos,"fools,loofs"
floor,floor
fimrs,firms
dnrsu,durns
ablmy,balmy
aeglr,"argle,glare,lager,large,regal"
aaqsu,aquas
eiipx,pixie
ablmu,album
bbbuy,bubby
ablms,"balms,lambs"
ccloy,cyclo
eeglr,leger
eegls,glees
cdeks,decks
itttu,tutti
ehlls,"hells,shell"
dfilu,fluid
eegly,elegy
ddruy,ruddy
fhirt,firth
bilos,boils
bilor,broil
acelt,"cleat,eclat"
acelr,"clear,lacer"
acels,"alecs,laces,scale"
almoo,moola
bkoos,books
dimns,minds
ilmnu,linum
ceehr,cheer
efstu,fetus
eemry,emery
ceehn,hence
ceehl,leech
bmmou,mumbo
amruu,aurum
annny,nanny
aadty,adyta
binot,biont
acelm,"camel,macle"
eenst,"teens,tense"
binos,bison
binor,robin
dilsy,idyls
bmoor,"bromo,broom"
bmoos,"booms,bosom"
cersu,"cruse,cures,curse,ecrus,sucre"
ilops,"polis,spoil"
bmooy,boomy
abotu,about
aaclr,craal
deilo,"oiled,oldie"
kllno,knoll
aacln,canal
deilp,"piled,plied"
deils,"delis,idles,isled,sidle,slide"
dhqrs,hdqrs
egstu,guest
deilw,"wield,wiled"
deilv,"devil,lived"
deily,yield
eeilx,exile
eertx,exert
lmssu,slums
afgot,fagot
ehlot,"helot,hotel,thole"
bersy,byres
fhist,shift
dorss,dross
ioqtu,"quito,quoit"
dorsu,sudor
cehin,"chine,niche"
dorsw,"sword,words"
adefm,famed
eentv,event
hloss,slosh
fhisy,fishy
hlost,"holts,sloth"
hlosw,howls
ceelo,ecole
adeft,"defat,fated"
appsu,pupas
abhrs,brash
adefs,fades
adefr,"fader,fared"
adoty,"toady,today"
deltu,luted
deltv,veldt
deltw,dwelt
adefx,faxed
ailps,"lapis,pails"
adefz,fazed
ceelr,creel
glssu,slugs
gipry,gripy
kopry,porky
emmos,memos
giprt,gript
aeggu,gauge
aemny,"meany,yamen"
aeggs,gages
aeggr,gager
giprs,"grips,prigs,sprig"
ehilo,helio
deopy,dopey
acmrs,"crams,marcs,scram"
bijou,bijou
aeggi,aggie
aagls,"algas,galas"
deops,"dopes,posed"
deopr,"doper,pedro,pored,roped"
adefk,faked
aesvw,waves
ekpry,perky
alsuw,wauls
deopt,"depot,opted,toped"
dikss,"disks,skids"
ceirr,"crier,ricer"
ceirs,"cries,rices"
ceirt,"citer,recti,trice"
aeekp,apeek
apsty,"pasty,patsy"
eiops,poise
ceirx,xeric
befir,"brief,fiber,fibre"
deeny,needy
dhitw,width
befit,befit
acryz,crazy
hqrsu,qursh
deimm,mimed
deesx,"desex,dexes,sexed"
eirtu,uteri
elnos,noels
hmnot,month
ekosy,yokes
aailv,avail
ceely,lycee
afilp,pilaf
ahmrs,"harms,marsh"
aails,alias
fknuy,funky
blmoo,bloom
isstw,wists
aailx,axial
ekost,"stoke,tokes"
ityzz,tizzy
deest,steed
abbir,rabbi
illsw,"swill,wills"
aklst,"stalk,talks"
beest,"beets,beset,betes"
deesu,suede
adjsu,judas
afill,flail
afilo,folia
afiln,final
dimst,midst
bglos,globs
ilmns,limns
afstw,wafts
eppru,upper
irssu,risus
alrsy,aryls
isssw,swiss
abcjo,jacob
bdeel,bleed
clpsu,sculp
ahlpr,ralph
chhiw,which
isssy,sissy
cdery,decry
chhit,hitch
aginx,axing
hinwy,whiny
inprt,print
ioprr,prior
deelu,elude
bdeer,"brede,breed"
deelv,delve
aginp,aping
bessu,buses
aginr,grain
deelr,elder
gllsu,gulls
acilx,calix
aekns,"skean,snake,sneak"
deirt,"tired,tried"
agmno,"among,mango"
acilr,clair
klnpu,plunk
acilv,cavil
aadfr,farad
acilu,lucia
asttw,"twats,watts"
eeemr,emeer
asttu,"sutta,tauts"
erstt,trets
dhowy,howdy
aeknv,knave
acill,"calli,lilac"
acilm,claim
aefov,fovea
emosv,moves
emosu,"moues,mouse"
emost,"motes,smote,tomes"
aefor,afore
aelps,"lapse,leaps,pales,peals,pleas,sepal,spale"
ddduy,duddy
ckssu,sucks
ehstu,shute
acdlu,ducal
acdls,"clads,scald"
knosw,knows
acdlo,codal
beopr,"probe,rebop"
emrux,murex
ainnp,pinna
bemrs,berms
allno,llano
einsv,"veins,vines"
ipsst,spits
efhst,hefts
dejoy,joyed
akkop,kapok
aorst,"roast,taros,toras"
cehks,hecks
aorsv,savor
ahhss,shahs
ccemu,cecum
cehkt,ketch
deoss,doses
aabln,banal
beglo,"bogle,globe"
ellty,telly
hklos,kohls
adlno,nodal
hknoy,honky
gnrsu,rungs
oopps,poops
adlns,lands
aabls,"baals,balsa,basal"
diyzz,dizzy
forsu,fours
forst,"forts,frost"
aestz,zetas
epwxy,expwy
hknos,honks
aesty,yeast
cehko,choke
cikst,"stick,ticks"
cfrsu,scurf
nooty,toyon
fgooy,goofy
cdeox,codex
cdeoy,decoy
noost,snoot
cdeot,coted
fgoos,goofs
cdeov,coved
cdeow,cowed
cdeop,coped
eefst,fetes
cdeor,"coder,cored,credo,decor"
cdeos,"codes,coeds"
billr,brill
chinw,winch
cdeoo,cooed
ainsz,nazis
eirtw,"twier,write"
ehlps,"helps,shlep"
ainsv,vinas
ainsw,"swain,wains"
ainst,"antis,saint,satin,stain"
ainsu,ainus
cdkos,docks
effis,"fiefs,fifes"
beitt,"bitte,tibet"
defgo,defog
addny,dandy
delnu,unled
dlluy,dully
adiln,linda
cdior,doric
cdios,disco
cdiot,dicot
eessy,yeses
delns,lends
nostw,"towns,wonts"
adilv,valid
nostu,snout
eglmo,golem
adils,dials
adilr,"laird,lidar"
cilos,coils
abnns,banns
gnsuw,swung
defgu,fudge
dooyz,doozy
allwy,wally
adily,daily
afhit,faith
aenss,sanes
aoprv,vapor
aensv,"evans,naves,vanes"
aensw,"wanes,weans"
beklo,bloke
himst,smith
eefsz,fezes
himsw,whims
dijnn,djinn
himss,shims
aimou,miaou
eilrt,"liter,litre,relit,tiler"
antwy,tawny
afsst,fasts
aeguv,vague
aeguz,gauze
aissv,visas
bemru,umber
dikny,dinky
efisx,fixes
akkpu,pukka
aflou,afoul
dhstu,thuds
aafrs,afars
efist,feist
aejks,jakes
efisv,fives
eivwy,viewy
acott,cotta
aehsy,hayes
aehsz,hazes
ahiku,haiku
aenox,axone
eestw,"sweet,weest"
acgrs,"crags,scrag"
aehss,ashes
aehst,"haets,haste,hates,heats"
aanpr,prana
aehsv,"haves,shave"
aehsw,hawse
bekrs,"kerbs,krebs"
inors,"irons,rosin"
bdinu,unbid
bdins,binds
chivy,"chivy,vichy"
rttuy,rutty
inory,irony
einpr,"repin,ripen"
einpt,inept
acepr,"caper,carpe,crape,pacer,recap"
aceps,"capes,paces,scape,space"
aahrt,arhat
cefls,clefs
giloo,igloo
aestt,"state,taste,teats"
acnpu,uncap
eemny,"enemy,yemen"
adnno,donna
ginot,ingot
ginow,owing
mmmoy,mommy
aiisx,ixias
ginor,groin
eillr,iller
ilstt,"stilt,tilts"
admrs,drams
achlo,loach
abjno,banjo
epprs,preps
achls,clash
achlr,larch
aflwy,flawy
oorst,"roost,roots,toros,torso"
adepy,payed
aditv,davit
eillm,mille
adepv,paved
jsstu,justs
gmoor,groom
adeps,spade
ahrst,"harts,trash"
abbrs,barbs
cikky,kicky
dgooy,goody
hllsu,hulls
afirs,fairs
afirr,friar
bmowy,womby
bemow,embow
cikks,kicks
dgoos,goods
fgirs,frigs
bemos,besom
efklu,fluke
enoos,noose
deetu,etude
aikrt,krait
beooz,booze
mossu,sumos
kmruy,murky
eersw,"ewers,resew,sewer"
eerst,"ester,reset,steer,stere,terse,trees"
eersu,reuse
eipty,piety
aampp,pampa
annoy,annoy
eersy,eyers
nptuy,punty
ffpsu,puffs
hmsuy,mushy
bprsu,burps
ddmuy,muddy
enrru,rerun
ampst,"stamp,tamps"
ejstu,jutes
alrru,rural
eemrr,merer
ampsu,pumas
ehklw,whelk
ajmor,"joram,major"
eikks,kikes
hmtyy,thymy
dhoos,hoods
ahksy,shaky
addsu,duads
gnoss,songs
ilors,"loris,roils"
eginy,eying
bdeow,bowed
hirrw,whirr
ceepr,"creep,crepe"
abinr,"bairn,brain,brian"
bdeos,bodes
bdeor,"bored,orbed,robed"
mprtu,trump
eginr,"reign,renig"
dfloo,flood
eemrs,meres
bdeox,boxed
eginv,given
ffity,fifty
empsu,spume
agimo,"amigo,imago"
dempu,umped
dflos,folds
anosv,novas
bdeoo,booed
abeks,"bakes,beaks"
djoos,dojos
ablot,bloat
hinnt,ninth
cgiln,cling
dinow,indow
ciost,stoic
cprty,crypt
kloyy,yolky
ffpuy,puffy
chpsy,psych
aklty,talky
cenou,ounce
ciinv,vinic
agnou,guano
jnotu,junto
ehlty,ethyl
nnoos,noons
bossy,bossy
bcitu,cubit
elpst,"pelts,slept,spelt"
addef,faded
ikmns,minks
nsstu,stuns
dksuu,kudus
bknos,knobs
addel,"addle,laded"
dksuy,dusky
addei,aided
airsy,syria
bknou,bunko
addej,jaded
addet,dated
adnss,sands
eflry,"flyer,refly"
hoopt,photo
adnst,stand
addes,deads
adder,"adder,dared,dread,readd"
adnsy,sandy
hrstu,"hurts,ruths"
iiivx,xviii
addez,dazed
fmors,forms
eimov,movie
aekno,oaken
nnosu,nouns
ginps,pings
fmoru,forum
agnoy,agony
aemrr,"armer,rearm"
aacis,isaac
asstt,stats
mmruy,rummy
aemrt,"mater,tamer"
cmors,corms
alstu,"sault,talus,tulsa"
fssuy,fussy
densy,dynes
aansu,sauna
bdmsu,dumbs
ggipy,piggy
abdwy,bawdy
ffrsu,ruffs
densw,wends
densv,vends
densu,"dunes,nudes"
denst,"dents,tends"
deels,"deles,leeds"
aeops,"aesop,paseo"
celpt,clept
hilly,hilly
ipqsu,quips
aghrt,garth
deflt,delft
deflu,flued
filos,foils
mnotu,mount
hills,"hills,shill"
filoo,folio
osttu,"stout,touts"
cdhuy,duchy
allsy,sally
acdgy,cadgy
allsw,walls
glpsu,"gulps,plugs"
finos,"foins,infos"
loppy,"loppy,polyp"
aiksv,kivas
diosv,voids
efhty,hefty
aorvy,ovary
aelqu,"equal,quale"
aehlw,"whale,wheal"
adnrw,drawn
ejnos,jones
ackkn,knack
efhtt,theft
hopqs,qophs
imost,"moist,omits"
ehrsu,usher
agnry,"angry,rangy"
bnnuy,bunny
ikkrs,kirks
ahssw,"shaws,swash"
cehvy,chevy
agnrw,wrang
aeitv,vitae
agnrt,grant
emsst,stems
aefks,fakes
acehr,"chare,reach"
acehs,"aches,chase"
acehp,"cheap,peach"
cdesu,duces
ehooy,hooey
aceht,"cheat,teach"
fiost,foist
ceelp,clepe
ippty,tippy
acehn,hance
belru,"bluer,ruble"
acehl,"chela,leach"
estty,testy
belry,beryl
ceelx,excel
elnor,"enrol,loner"
elnot,lento
ahlor,horal
elnov,novel
aadpt,adapt
hnosy,hyson
ehrsy,shyer
hiksw,whisk
acgls,clags
afloo,"aloof,loofa"
hnosw,shown
coprs,"corps,crops"
aflot,"aloft,float"
denno,donne
mortu,tumor
cehnw,wench
aflos,"foals,loafs"
aflor,flora
acgln,clang
adnry,randy
eiptt,petit
bmoux,buxom
aervw,waver
eilrv,"liver,livre,viler"
ackls,"calks,lacks,slack"
eilrs,"liers,riels,riles,slier"
abddy,baddy
aaknt,tanka
efgoy,fogey
eestv,steve
abcel,cable
moprs,"proms,romps"
ahkoo,hooka
efgor,"forge,gofer"
ilqtu,quilt
cortu,court
hmopr,morph
iknyz,zinky
ghimt,might
ahkos,shako
adejp,japed
adejs,jades
ampss,spasm
dorwy,"dowry,rowdy,wordy"
chosw,chows
adejw,jawed
chosu,hocus
adopt,adopt
ehlxy,hexyl
ehmoy,homey
emnov,venom
delpu,"duple,puled"
emnot,monte
ehmor,homer
ehmos,homes
cffil,cliff
orsst,sorts
agnor,"argon,groan,orang,organ"
agnos,agons
egmry,germy
ggpuy,puggy
ffmsu,muffs
aertu,autre
aemuv,mauve
bloos,"bolos,lobos,obols"
elmuv,velum
egmrs,germs
aeikl,alike
aefkr,"faker,freak"
afkln,flank
eeisv,sieve
ackln,clank
aailn,"lanai,liana"
bgiot,bigot
ikqru,quirk
acklr,clark
aeegr,"agree,eager"
acklu,caulk
cciny,cynic
gikor,gorki
aeegl,"aglee,eagle"
afkly,flaky
acklo,cloak
ccino,conic
chlmu,mulch
afkls,flask
filsu,fusil
filst,"flits,lifts"
eirry,eyrir
diiot,idiot
blosw,"blows,bowls"
blosu,bolus
blost,"blots,bolts"
bloss,slobs
eefks,keefs
jostu,joust
eirrv,river
aagrt,grata
egmno,gnome
dioov,ovoid
aefkl,flake
abkns,banks
aagrs,"agars,ragas"
dfnor,frond
dfnos,fonds
egpru,purge
eksty,tykes
dfnou,"fondu,found"
eelst,"sleet,steel,stele"
emoos,moose
dhisy,dishy
eggor,gorge
fgino,gonif
aimst,maist
aimsw,swami
dinrs,rinds
deglo,"lodge,ogled"
aimsx,maxis
cekps,"pecks,speck"
abeno,beano
aciis,ascii
abens,"banes,beans"
abenr,abner
deglu,glued
degls,gelds
hllou,hullo
elouz,ouzel
adewy,yawed
hlloy,holly
fginu,fungi
bersv,verbs
knrtu,trunk
egopr,grope
oostt,toots
bbeil,bible
boost,"boost,boots"
abcnu,cuban
denrt,trend
eisvw,"views,wives"
ghitt,tight
eorvw,vower
demru,demur
aehks,"hakes,shake"
demrs,derms
mnoos,"monos,moons"
ajost,jatos
goprs,progs
eirrs,riser
mnooy,moony
aoppp,poppa
gttuy,gutty
abiit,tibia
bbeer,rebbe
aikks,kakis
defnu,unfed
ghitw,wight
egiov,ogive
eirrt,trier
eirrw,"wirer,wrier"
kooty,"kyoto,tokyo"
pppuy,puppy
aprtt,trapt
emnoy,money
bdeln,blend
abiim,iambi
aeers,"easer,erase,saree"
innop,pinon
aeerv,reave
krssu,rusks
aeert,"arete,eater"
aacuv,vacua
aeerz,razee
eprxy,"prexy,pyrex"
aeimm,mamie
ciopt,"optic,picot,topic"
aeosv,soave
oruvw,vrouw
ceiir,icier
ekkop,kopek
ciily,icily
innou,union
adfrw,dwarf
adfrt,draft
adfru,fraud
bnrtu,"brunt,burnt"
adfrs,fards
ciilt,licit
adhor,hoard
ccior,croci
iopsu,pious
boort,robot
ackms,"macks,smack"
anssu,susan
eprru,purer
clnow,clown
bginr,bring
ackmu,amuck
bgino,bingo
aeelt,elate
dikns,kinds
diknr,drink
clnoo,colon
bbhoy,hobby
ddowy,dowdy
abort,"abort,tabor"
einsw,"sinew,swine,wines"
aeelv,leave
cintu,"cutin,tunic"
cintt,tinct
crruy,curry
ailtv,vital
aefrs,"fares,fears,safer"
knpsu,"punks,spunk"
degmu,degum
ceipr,price
eefjs,jefes
aefrr,farer
acrtt,tract
egooy,gooey
aagss,sagas
egoos,goose
emopy,"mopey,myope"
diino,iodin
adflo,adolf
cgksu,gucks
aeimn,maine
cekpy,pecky
ckoss,socks
gilst,gilts
gilsu,uglis
defmu,fumed
abgns,bangs
hhisw,whish
allty,tally
hhiss,shish
anopr,apron
hnoow,nohow
eggou,gouge
iirvz,vizir
diors,"doris,dorsi"
hmpuw,whump
diort,droit
morsw,worms
aaegl,algae
hoprt,thorp
epstw,swept
aaegt,agate
lpsuu,lupus
achpt,"chapt,patch"
achps,chaps
aaegp,agape
irtyz,ritzy
alnoz,zonal
dfors,fords
appsy,sappy
aaegz,agaze
bsstu,"busts,stubs"
llpsu,pulls
cdeei,deice
innru,inurn
allry,rally
hlloo,hollo
aastv,avast
demtu,muted
ackrt,track
bdery,derby
ahost,"oaths,shoat"
bflyy,flyby
aaequ,aquae
cdeeu,"deuce,educe"
cdeer,"ceder,cered,creed"
agrvy,gravy
eerrs,serer
eejps,jeeps
alpss,slaps
dehil,delhi
dehik,hiked
abtty,batty
iloos,olios
agkwy,gawky
brstu,burst
aknps,"knaps,spank"
aknpr,prank
eikln,"inkle,liken"
aflsu,sulfa
ejsst,jests
ejssu,jesus
eiklr,liker
adlru,dural
adlrw,drawl
blmpu,plumb
adlrs,lards
dehiv,hived
dehit,edith
dehis,"hides,shied"
dehir,"hider,hired"
bhmor,rhomb
abdey,"bayed,beady"
aehtt,theta
gimmr,grimm
abdes,"based,beads"
aborr,arbor
deipp,piped
abdeo,"abode,adobe"
hloty,hotly
egoru,"rogue,rouge"
abdel,"baled,blade"
ahkns,"ankhs,hanks,khans,shank"
deips,spied
abdei,abide
bgirs,brigs
ghilt,light
ahino,hanoi
deipr,"pride,pried,redip"
bertu,"brute,rebut,tuber"
ahkny,hanky
amprt,tramp
aegln,"angel,angle,genal,glean"
adeiu,adieu
aegll,legal
ffgru,gruff
adost,toads
degwy,wedgy
adeir,"aider,aired,deair"
fglnu,flung
agnnw,gnawn
diqsu,"quids,squid"
emptt,tempt
abmmo,mambo
adeiz,azide
ddloy,oddly
abcsu,scuba
aeglz,glaze
abgno,gabon
aegly,agley
adeil,"ailed,ideal"
aelpp,apple
adein,diane
mnoru,mourn
ehmny,hymen
aegls,"gaels,gales"
egmsu,geums
aabem,"abeam,ameba"
